Inner Track (x),Inner Track (y),Outer Track (x),Outer Track (y),Mid Track (x),Mid track (y)
-34.2374259973222,-30.721306304874,-37.2145934753502,-33.3927242444282,-35.7260097363362,-32.0570152746511
-34.4622999839478,-30.4688345661004,-37.4590217216823,-33.1182984414135,-35.960660852815,-31.7935665037569
-34.6853122524912,-30.2147168437367,-37.7014263614035,-32.8420835258007,-36.1933693069473,-31.5284001847687
-34.9064507554115,-29.9589668656987,-37.9417942993603,-32.5640944192377,-36.4241225273859,-31.2615306424682
-35.1257035463919,-29.70159844808,-38.180112550426,-32.2843461392174,-36.652908048409,-30.9929722936487
-35.3430587809855,-29.4426254944053,-38.4163682402016,-32.0028537982666,-36.8797135105936,-30.7227396463359
-35.5585047172548,-29.1820619948792,-38.6505486057117,-31.7196326031295,-37.1045266614832,-30.4508472990043
-35.7720297164062,-28.9199220256306,-38.8826409960937,-31.4346978539463,-37.3273353562499,-30.1773099397884
-35.9836222434188,-28.6562197479524,-39.1126328732813,-31.1480649434265,-37.54812755835,-29.9021423456894
-36.1932708676674,-28.3909694075362,-39.340511812682,-30.8597493560176,-37.7668913401747,-29.6253593817769
-36.4009642635402,-28.1241853337029,-39.566265503848,-30.5697666670684,-37.9836148836941,-29.3469760003857
-36.6066912110503,-27.8558819386286,-39.7898817511416,-30.2781325419876,-38.1982864810959,-29.0670072403081
-36.8104405964422,-27.5860737165658,-40.0113484743937,-29.9848627353976,-38.4108945354179,-28.7854682259817
-37.0122014127919,-27.3147752430608,-40.2306537095564,-29.6899730902835,-38.6214275611741,-28.5023741666721
-37.2119627606017,-27.042001174166,-40.4477856093497,-29.3934795371369,-38.8298741849757,-28.2177403556514
-37.4097138483889,-26.7677662456481,-40.662732443901,-29.0953980930957,-39.036223146145,-27.9315821693719
-37.605443993269,-26.4920852721924,-40.8754826013793,-28.7957448610786,-39.2404632973241,-27.6439150666355
-37.7991426215322,-26.2149731466021,-41.086024588622,-28.4945360289153,-39.4425836050771,-27.3547545877587
-37.9907992692155,-25.9364448389939,-41.294347031756,-28.1917878684717,-39.6425731504857,-27.0641163537328
-38.1804035826673,-25.6565153959896,-41.5004386768122,-27.8875167347713,-39.8404211297397,-26.7720160653804
-38.3679453191068,-25.3751999399025,-41.7042883903335,-27.5817390651114,-40.0361168547202,-26.4784695025069
-38.5534143471779,-25.0925136679213,-41.905885159976,-27.2744713781753,-40.2296497535769,-26.1834925230483
-38.7368006474957,-24.8084718512886,-42.105218095104,-26.9657302731398,-40.4210093712998,-25.8871010622142
-38.9180943131883,-24.5230898344761,-42.3022764273785,-26.6555324287784,-40.6101853702834,-25.5893111316272
-39.0972855504318,-24.2363830343555,-42.4970495113389,-26.3438946025604,-40.7971675308854,-25.2901388184579
-39.2743646789796,-23.948366939366,-42.6895268249778,-26.0308336297457,-40.9819457519787,-24.9896002845559
-39.449322132685,-23.6590571086773,-42.8796979703098,-25.7163664224753,-41.1645100514974,-24.6877117655763
-39.6221484600182,-23.3684691713488,-43.0675526739328,-25.4005099688574,-41.3448505669755,-24.3844895701031
-39.7928343245768,-23.0766188254862,-43.2530807875834,-25.0832813320503,-41.5229575560801,-24.0799500787683
-39.9613705055903,-22.7835218373925,-43.4362722886851,-24.7646976493397,-41.6988213971377,-23.7741097433661
-40.1277478984181,-22.4891940407166,-43.6171172808892,-24.4447761312137,-41.8724325896536,-23.4669850859652
-40.2919575150414,-22.1936513355983,-43.7956059946102,-24.1235340604329,-42.0437817548258,-23.1585926980156
-40.4539904845486,-21.8969096878087,-43.9717287875529,-23.8009887910964,-42.2128596360508,-22.8489492394525
-40.613838053615,-21.5989851278882,-44.1454761452337,-23.4771577477045,-42.3796570994243,-22.5380714377964
-40.771491586975,-21.2998937502803,-44.3168386814945,-23.1520584242177,-42.5441651342347,-22.225976087249
-40.9269425678889,-20.9996517124623,-44.4858071390097,-22.8257083831112,-42.7063748534493,-21.9126800477867
-41.0801825986034,-20.6982752340721,-44.6523723897863,-22.4981252544262,-42.8662774941949,-21.5982002442491
-41.2312034008045,-20.3957805960324,-44.816525435657,-22.1693267348178,-43.0238644182308,-21.2825536654251
-41.3799968160652,-20.0921841396708,-44.9782574087665,-21.8393305865987,-43.1791271124158,-20.9657573631347
-41.5265548062861,-19.7875022658374,-45.1375595720501,-21.5081546367797,-43.3320571891681,-20.6478284513085
-41.6708694541297,-19.4817514340184,-45.2944233197062,-21.1758167761069,-43.482646386918,-20.3287841050627
-41.8129329634482,-19.1749481614472,-45.4488401776611,-20.8423349580948,-43.6308865705546,-20.008641559771
-41.9527376597042,-18.8671090222121,-45.6008018040263,-20.5077271980566,-43.7767697318653,-19.6874181101344
-42.0902759903858,-18.5582506463607,-45.7502999895498,-20.1720115721312,-43.9202879899678,-19.365131109246
-42.2255405254146,-18.2483897190018,-45.8973266580593,-19.8352062163064,-44.0614335917369,-19.0417979676541
-42.3585239575465,-17.9375429794039,-46.0418738668983,-19.497329325439,-44.2001989122224,-18.7174361524215
